01,0000000000000000000000000000000001
02,0000000000000000000000000000000010
03,0000000000000000000000000000000100
04,0000000000000000000000000000001000
05,0000000000000000000000000000010000
06,0000000000000000000000000000100000
07,0000000000000000000000000001000000
08,0000000000000000000000000010000000
09,0000000000000000000000000100000000
10,0000000000000000000000001000000000
11,0000000000000000000000010000000000
12,0000000000000000000000100000000000
13,0000000000000000000001000000000000
14,0000000000000000000010000000000000
15,0000000000000000000100000000000000
16,0000000000000000001000000000000000
17,0000000000000000010000000000000000
18,0000000000000000100000000000000000
19,0000000000000001000000000000000000
20,0000000000000010000000000000000000
21,0000000000000100000000000000000000
22,0000000000001000000000000000000000
23,0000000000010000000000000000000000
24,0000000000100000000000000000000000
25,0000000001000000000000000000000000
26,0000000010000000000000000000000000
27,0000000100000000000000000000000000
28,0000001000000000000000000000000000
29,0000010000000000000000000000000000
30,0000100000000000000000000000000000
31,0001000000000000000000000000000000
32,0010000000000000000000000000000000
33,0100000000000000000000000000000000
34,1000000000000000000000000000000000
